Gene_name	nSites	nLocations	Tot	cdsAlt	utr5Altx	utr3Altx
CNAG_00119	1	1	1109	FALSE	FALSE	FALSE
CNAG_00120	2	2	685	TRUE	FALSE	FALSE
CNAG_00121	3	2	2126	TRUE	FALSE	FALSE
CNAG_00122	4	2	718	FALSE	TRUE	FALSE
CNAG_00123	2	2	3212	TRUE	FALSE	FALSE
CNAG_00124	2	2	1016	TRUE	FALSE	FALSE
CNAG_00125	1	1	885	FALSE	FALSE	FALSE
CNAG_00126	1	1	919	FALSE	FALSE	FALSE
CNAG_00127	3	2	571	TRUE	FALSE	FALSE
CNAG_00128	7	2	378	TRUE	TRUE	FALSE
CNAG_00129	6	2	141	TRUE	TRUE	FALSE
CNAG_00130	1	1	29343	FALSE	FALSE	FALSE
CNAG_00131	1	1	56	FALSE	FALSE	FALSE
CNAG_00132	3	2	251	TRUE	TRUE	FALSE
CNAG_00133	1	1	555	FALSE	FALSE	FALSE
CNAG_00134	2	2	699	TRUE	FALSE	FALSE
CNAG_00135	1	1	18884	FALSE	FALSE	FALSE
CNAG_00136	3	2	635	TRUE	FALSE	FALSE
CNAG_00137	1	1	3433	FALSE	FALSE	FALSE
CNAG_00138	1	1	8365	FALSE	FALSE	FALSE
CNAG_00139	1	1	152134	FALSE	FALSE	FALSE
CNAG_00140	1	1	27201	FALSE	FALSE	FALSE
CNAG_00141	3	2	676	TRUE	FALSE	FALSE
CNAG_00142	1	1	6191	FALSE	FALSE	FALSE
CNAG_00143	4	2	1395	TRUE	FALSE	FALSE
CNAG_00144	1	1	594	FALSE	FALSE	FALSE
CNAG_00145	1	1	232	FALSE	FALSE	FALSE
CNAG_00146	2	2	878	TRUE	FALSE	FALSE
CNAG_00147	5	1	703	TRUE	FALSE	FALSE
CNAG_00148	3	1	1287	TRUE	FALSE	FALSE
CNAG_00149	3	2	2446	TRUE	FALSE	FALSE
CNAG_00150	4	2	786	TRUE	FALSE	FALSE
CNAG_00151	1	1	2914	FALSE	FALSE	FALSE
CNAG_00152	1	1	6361	FALSE	FALSE	FALSE
CNAG_00153	1	1	746	FALSE	FALSE	FALSE
CNAG_00154	1	1	4420	FALSE	FALSE	FALSE
CNAG_00156	3	2	1130	TRUE	FALSE	FALSE
CNAG_00157	1	1	1854	FALSE	FALSE	FALSE
CNAG_00158	4	2	354	TRUE	FALSE	FALSE
CNAG_00159	2	1	490	FALSE	TRUE	FALSE
CNAG_00161	3	1	1661	TRUE	FALSE	FALSE
CNAG_00162	1	1	34331	FALSE	FALSE	FALSE
CNAG_00163	1	1	2114	FALSE	FALSE	FALSE
CNAG_00164	4	2	595	TRUE	TRUE	FALSE
CNAG_00165	1	1	1224	FALSE	FALSE	FALSE
CNAG_00166	2	2	1780	TRUE	FALSE	FALSE
CNAG_00167	2	2	605	TRUE	FALSE	FALSE
CNAG_00171	1	1	1398	FALSE	FALSE	FALSE
CNAG_00172	3	2	85	TRUE	FALSE	FALSE
CNAG_00173	5	3	271	TRUE	FALSE	FALSE
CNAG_00174	3	2	1122	TRUE	FALSE	FALSE
CNAG_00175	5	2	189	TRUE	FALSE	FALSE
CNAG_00176	1	1	5914	FALSE	FALSE	FALSE
CNAG_00177	2	1	11	FALSE	TRUE	FALSE
CNAG_00178	4	2	2037	TRUE	FALSE	FALSE
CNAG_00179	7	2	57	TRUE	FALSE	FALSE
CNAG_00180	1	1	3007	FALSE	FALSE	FALSE
CNAG_00181	3	2	2417	TRUE	FALSE	FALSE
CNAG_00182	1	1	1859	FALSE	FALSE	FALSE
CNAG_00183	3	2	3021	TRUE	FALSE	FALSE
CNAG_00184	2	2	860	TRUE	FALSE	FALSE
CNAG_00185	1	1	3363	FALSE	FALSE	FALSE
CNAG_00186	1	1	5410	FALSE	FALSE	FALSE
CNAG_00187	1	1	12804	FALSE	FALSE	FALSE
CNAG_00188	1	1	637	FALSE	FALSE	FALSE
CNAG_00189	1	1	1880	FALSE	FALSE	FALSE
CNAG_00190	1	1	3921	FALSE	FALSE	FALSE
CNAG_00191	2	2	217	TRUE	FALSE	FALSE
CNAG_00192	5	2	308	TRUE	TRUE	FALSE
CNAG_00193	1	1	1067	FALSE	FALSE	FALSE
CNAG_00194	1	1	1262	FALSE	FALSE	FALSE
CNAG_00195	2	2	213	TRUE	FALSE	FALSE
CNAG_00229	8	2	395	TRUE	TRUE	FALSE
CNAG_00231	3	3	294	TRUE	FALSE	FALSE
CNAG_00232	1	1	30643	FALSE	FALSE	FALSE
CNAG_00233	1	1	1250	FALSE	FALSE	FALSE
CNAG_00234	1	1	882	FALSE	FALSE	FALSE
CNAG_00235	2	2	4368	TRUE	FALSE	FALSE
CNAG_00236	3	2	192	TRUE	FALSE	FALSE
CNAG_00237	3	2	775	TRUE	FALSE	FALSE
CNAG_00238	3	2	12793	TRUE	FALSE	FALSE
CNAG_00239	10	3	235	TRUE	FALSE	FALSE
CNAG_00240	1	1	1057	FALSE	FALSE	FALSE
CNAG_00241	1	1	7414	FALSE	FALSE	FALSE
CNAG_00243	3	2	1329	TRUE	FALSE	FALSE
CNAG_00246	2	2	2078	TRUE	FALSE	FALSE
CNAG_00247	4	2	283	TRUE	FALSE	FALSE
CNAG_00248	2	1	32	FALSE	TRUE	FALSE
CNAG_00249	4	2	858	TRUE	FALSE	FALSE
CNAG_00250	4	2	843	TRUE	TRUE	FALSE
CNAG_00251	2	2	451	TRUE	FALSE	FALSE
CNAG_00252	1	1	459	FALSE	FALSE	FALSE
CNAG_00253	1	1	3491	FALSE	FALSE	FALSE
CNAG_00254	1	1	17554	FALSE	FALSE	FALSE
CNAG_00255	1	1	2450	FALSE	FALSE	FALSE
CNAG_00256	1	1	8802	FALSE	FALSE	FALSE
CNAG_00257	8	2	562	TRUE	FALSE	FALSE
CNAG_00258	8	2	109	TRUE	FALSE	FALSE
CNAG_00259	2	2	1113	TRUE	FALSE	FALSE
CNAG_00260	1	1	2621	FALSE	FALSE	FALSE
CNAG_00261	1	1	41596	FALSE	FALSE	FALSE
CNAG_00262	2	2	125	TRUE	FALSE	FALSE
CNAG_00263	3	2	1646	TRUE	FALSE	FALSE
CNAG_00264	2	2	9851	TRUE	FALSE	FALSE
CNAG_00265	1	1	1145	FALSE	FALSE	FALSE
CNAG_00266	1	1	10194	FALSE	FALSE	FALSE
CNAG_00267	3	2	145	TRUE	FALSE	FALSE
CNAG_00268	1	1	2593	FALSE	FALSE	FALSE
CNAG_00269	1	1	111	FALSE	FALSE	FALSE
CNAG_00270	1	1	2423	FALSE	FALSE	FALSE
CNAG_00271	1	1	2682	FALSE	FALSE	FALSE
CNAG_00272	3	2	574	TRUE	FALSE	FALSE
CNAG_00273	1	1	381	FALSE	FALSE	FALSE
CNAG_00274	1	1	1004	FALSE	FALSE	FALSE
CNAG_00275	1	1	923	FALSE	FALSE	FALSE
CNAG_00276	1	1	1021	FALSE	FALSE	FALSE
CNAG_00277	3	2	1715	TRUE	FALSE	FALSE
CNAG_00278	2	2	1442	TRUE	FALSE	FALSE
CNAG_00279	2	2	3020	TRUE	FALSE	FALSE
CNAG_00280	3	2	1089	TRUE	FALSE	FALSE
CNAG_00283	2	2	648	TRUE	FALSE	FALSE
CNAG_00284	1	1	188	FALSE	FALSE	FALSE
CNAG_00285	4	2	2369	TRUE	TRUE	FALSE
CNAG_00286	1	1	1433	FALSE	FALSE	FALSE
CNAG_00287	2	2	715	TRUE	FALSE	FALSE
CNAG_00288	1	1	1445	FALSE	FALSE	FALSE
CNAG_00289	1	1	3480	FALSE	FALSE	FALSE
CNAG_00290	2	2	519	TRUE	FALSE	FALSE
CNAG_00291	2	2	1117	TRUE	FALSE	FALSE
CNAG_00292	4	2	216	TRUE	FALSE	FALSE
CNAG_00293	1	1	1258	FALSE	FALSE	FALSE
CNAG_00294	1	1	11734	FALSE	FALSE	FALSE
CNAG_00299	3	2	827	TRUE	FALSE	FALSE
CNAG_00300	2	2	2070	TRUE	FALSE	FALSE
CNAG_00301	2	2	4144	TRUE	FALSE	FALSE
CNAG_00302	3	2	783	TRUE	TRUE	FALSE
CNAG_00304	1	1	199	TRUE	FALSE	FALSE
CNAG_00305	4	2	3844	TRUE	FALSE	FALSE
CNAG_00306	1	1	5933	FALSE	FALSE	FALSE
CNAG_00307	1	1	9937	FALSE	FALSE	FALSE
CNAG_00308	2	2	256	TRUE	FALSE	FALSE
CNAG_00309	3	2	725	TRUE	FALSE	FALSE
CNAG_00310	5	3	240	TRUE	FALSE	FALSE
CNAG_00311	3	2	1890	TRUE	TRUE	FALSE
CNAG_00312	2	2	718	TRUE	FALSE	FALSE
CNAG_00313	4	1	189	TRUE	FALSE	FALSE
CNAG_00314	1	1	3387	FALSE	FALSE	FALSE
CNAG_00315	1	1	61355	FALSE	FALSE	FALSE
CNAG_00316	2	2	1850	TRUE	FALSE	FALSE
CNAG_00317	1	1	21533	FALSE	FALSE	FALSE
CNAG_00318	1	1	4489	FALSE	FALSE	FALSE
CNAG_00319	3	2	1283	TRUE	FALSE	FALSE
CNAG_00320	3	2	875	TRUE	FALSE	FALSE
CNAG_00321	1	1	78	FALSE	FALSE	FALSE
CNAG_00322	2	2	760	TRUE	FALSE	FALSE
CNAG_00323	1	1	5	TRUE	FALSE	FALSE
CNAG_00326	4	2	2478	TRUE	FALSE	FALSE
CNAG_00327	1	1	355	FALSE	FALSE	FALSE
CNAG_00328	3	2	889	TRUE	FALSE	FALSE
CNAG_00329	1	1	4494	FALSE	FALSE	FALSE
CNAG_00330	5	2	466	TRUE	FALSE	FALSE
CNAG_00331	4	2	151	TRUE	FALSE	FALSE
CNAG_00332	6	2	910	TRUE	FALSE	FALSE
CNAG_00333	2	2	1024	TRUE	FALSE	FALSE
CNAG_00334	3	2	9587	TRUE	TRUE	FALSE
CNAG_00335	2	2	861	TRUE	FALSE	FALSE
CNAG_00337	2	1	3879	FALSE	TRUE	FALSE
CNAG_00342	6	3	349	TRUE	FALSE	FALSE
CNAG_00343	4	2	557	TRUE	FALSE	FALSE
CNAG_00344	3	2	337	TRUE	FALSE	FALSE
CNAG_00345	1	1	3535	FALSE	FALSE	FALSE
CNAG_00346	1	1	5780	FALSE	FALSE	FALSE
CNAG_00347	3	2	511	TRUE	FALSE	FALSE
CNAG_00348	1	1	2383	TRUE	FALSE	FALSE
